%pc_wealth_adj,factor
194027.8,980
205106.8,2224
100736.2,526
84555.84,237
360642,349
92374.52,862
291799.6,579
237808.9,884
413049.5,1292
123869.1,3730
103446.9,1263
133378.5,701
189482.2,1981
116124,280
107023.8,58
90534.73,2837
134713.5,98
194018.5,4681
287389.4,2605
36120.9,970
105610.1,1967
110745.1,1555
391230.8,1851
57796.89,300
86642.29,580
66531.26,526
973874.9,1861
102261.1,445
161143.7,948
549056.3,246
142616,1339
371366.9,1663
253553,497
299270.7,633
150806.9,1414
462468.8,4037
604158.3,6058
11015.63,33
135287.5,818
166318.2,409
199599.4,433
31084.63,4504
118812.8,77
201260.3,433
106182,3009
271914.8,1967
182263.9,124
558640.1,1062
396589.5,1170
280181.3,1161
162848.2,366
194548.6,1786
137264.8,6226
84179.03,998
139399.5,9498
159981.3,1125
99226.89,654
9392.69,575
122512.7,3218
403828.8,357
67706.9,944
718841.8,1427
38873.79,2367
19263.61,130
128848,2171
149212.7,4504
76028.3,2535
464991.3,2106
274112.3,2785
111959.8,549
31216.09,2331
201568,1778
60636.08,134
277033.5,6226
54978.73,3086
143922.3,474
136409.5,769
118398.6,723
182295,1960
27607.93,622
67509.79,410
139847.7,497
61301.24,832
271389.6,1659
38029.39,1853
129376.5,962
211343.2,1221
334596.3,1851
401862.3,1420
93836.27,1522
100114.8,897
241361,1339
419371.6,1039
233624.3,2397
166850,393
58810.4,2307
74703.83,1019
886754.8,1194
488522,143
115595.9,280
58930.77,2583
147887.3,9971
154502.8,771
305193.2,523
202120.3,21042
96660.63,1291
80660.89,433
77821.38,2307
189590.6,728
370725.3,1765
216943.7,769
45644.46,543
434761.8,633
289388.3,584
213888.5,165
265318.3,2753
84045.26,1291
162067.5,1206
108775.6,3840
37175.25,1392
134314.9,10275
130661.2,980
37457.54,1491
144389.4,956
261725.4,6599
79617.66,2605
105193,1859
66846.31,1502
164184.8,2157
93285.34,3381
49946.29,528
165773.2,2728
247190,1130
26711.24,334
305796.1,1068
46600.31,13490
60423.63,1789
116654.9,744
203157.7,1378
77219.91,1348
188675.3,509
66030.8,699
86600.07,701
61979.85,85
683677.6,1490
90406.8,1262
164820,2535
159124.5,2020
152045.9,1805
323166.4,588
87084.8,6601
484115,1386
166006.4,445
16557.63,2753
568921.6,1400
94861.48,403
16383.19,333
76068.05,1279
342992.5,1003
568418.8,181
154688.6,956
397019.3,1558
174684.1,800
189493.2,9498
137738.8,1436
203709.2,551
350577.7,1973
41582.45,622
76823.16,1350
123745,172
138166.6,1279
12371.47,575
223799.2,2192
0,102
320103.5,2278
106762.8,1414
633969.8,3504
302839.2,1417
122512.7,2246
64107.53,1859
502015.8,10179
203472,832
153561.9,2032
625307.4,876
99768.73,497
386519.3,413
240074.5,783
109012.6,723
171078.8,599
54682.71,1452
90149.66,546
151501.6,323
116654.9,580
255371.5,509
160405.6,576
122028.1,832
414494,2397
72182.62,1859
146075.6,486
30543.49,2728
264918.7,131
159969.2,348
708317.6,1960
183775,124
402266,526
154481.3,2397
189463.9,1806
273726.6,1584
228277,701
67328.06,1859
41464.08,334
220348.6,581
75761.26,1562
20431.69,591
43321.43,85
838375.8,1328
66013.06,1806
130879.3,2728
92097.21,488
200813,6527
324918.6,801
62176.3,896
104566.5,395
135085.5,1136
103016.6,1660
71887.75,631
55551.8,1853
114071,583
107317.3,1013
95919.24,1209
9872.412,354
37808.81,207
233750.9,537
63389.75,1191
566262.9,5424
67412.07,1491
72576.74,1551
30685.06,1096
146772,681
262717.5,2397
531578.3,1575
73055.33,85
74481.11,853
94099.73,1378
135076.6,366
93779.2,404
71204.49,2403
206536.3,526
18690.25,164
207645.1,642
194300.1,357
253554,70
203316.9,528
96819.99,1339
294331.6,700
21799.13,1491
205087.1,1206
269427.3,2302
337921,1820
184947.1,1442
106254.5,579
168320.2,1274
41028.79,393
413573.6,2114
64058.72,301
198221.5,526
120680.5,323
71307.98,1796
42328.51,528
112074.8,1289
125477.5,884
167233.5,428
472162.9,766
51111.05,2871
84537.27,315
348873.4,1620
238496.4,738
115512.9,296
355713.2,1522
238632,1601
102964.3,897
35686.75,79
147962,1071
173350.3,1401
186498.5,205
409831.5,2606
263333.6,2120
134556.4,769
120961.2,1929
289285.4,593
144739.2,688
144826.2,1263
68070.27,1355
230561.4,1355
99026.89,7254
126982,2007
239138.7,155
56875.35,1069
306556.9,441
81214.64,410
239138.7,1143
184039.1,1161
134089.4,2596
185788.2,567
15574.64,354
336984.1,1069
102572,2785
238311.7,1820
448341.4,348
719944.7,166
123991,1066
10544.82,2583
258009.7,124
161780.4,3990
110807.1,599
188616.8,368
30850.99,179
144103.2,1776
611066,822
12842.41,389
156910.9,5277
68809.35,2955
289055.8,599
34760.7,560
244474.1,2272
291129.2,955
161868.5,866
542984.3,1149
36785.45,485
45287,1149
62432.87,1754
159694.4,416
207428.9,1080
35174.71,528
150596,1859
393263.5,1973
137385,1776
143296.7,4046
318491.7,766
234932.6,1885
74588.07,1853
0,526
218224.1,1003
232674.7,5039
81851.08,323
126612.4,488
64502.42,1620
65090.36,4632
57098.24,83
127685.8,1050
191650.7,1789
60645.91,54
161642.5,168
15530.01,497
172779.5,959
174495.5,4037
89095.49,2285
84046.41,1355
125349.1,301
309081.3,707
172614.1,433
193668.4,366
166773.8,1546
10012.91,1929
309605.7,726
194390,2955
145478,1355
815593.4,1847
451712.3,143
9172.423,141
120375.3,1584
49040.99,796
205911.4,800
182521.7,2535
73253.32,41
129594.9,1096
71917.25,3457
150602.8,533
41464.08,207
166773.7,1994
50864.86,334
216571.7,798
174749.5,1031
112253.3,571
353217.5,3430
6754.978,1802
34870.16,497
320618.8,896
105402.8,312
65326.91,1149
137771.9,4490
90315.1,1078
52261.52,1538
260747.3,784
98879.87,497
7369.903,1802
133729.8,2238
214941.7,2238
139682.5,1063
65541.02,2505
61872.51,1515
138583.1,2464
168978.3,1050
240141.6,785
322122.4,577
153646.3,557
104342.9,348
43990.36,497
325312.9,650
346398.3,1490
89638.13,2367
164949.5,1379
170345.9,759
306778,431
484531.4,679
127841.9,4165
84876.91,275
363909.2,537
55197.98,2781
172532.5,1395
128603.3,946
99341.78,7402
92844.25,275
184767,3457
144629.1,397
458325.8,549
154449,1826
101411.8,540
132062.6,560
74756.23,1816
57498.52,983
109022.2,894
463350.3,1101
61458.53,3095
67237.13,1258
58602.58,996
39526.07,630
192241.9,694
23998.2,275
130360.4,9488
369794.9,261
280632.9,6407
56940.69,710
98796.91,1454
567345.6,654
94448.06,44
94879.21,1125
68381.32,524
467052,6058
180299.3,103
325684.8,925
91576.45,771
256380.4,526
38444.8,296
279053.7,1050
97416.74,3457
115393.7,1443
646317.1,1401
0,1378
198936.9,3884
111108.8,275
99793.01,832
185363.5,1919
62485.17,373
124397.7,2776
156080.5,580
586796.4,1468
84614.71,3430
85185.98,584
138430.8,584
97542.66,1704
133219,497
141261.3,716
111685.3,967
138263,1304
80453.67,699
102032,2730
94902.57,1206
476192.1,1244
568070,1551
101153.2,1826
132026.1,1186
47925.17,996
77367.73,832
178013.5,628
170649,1490
14740.24,179
135627.1,1378
453546.9,615
410729.6,8344
337025.1,723
170006.7,728
48925.61,884
74749.56,2176
504544.2,263
56540.08,244
73902.06,1534
16102.66,1351
217876.6,348
125275.7,42
150034.8,1069
1339.891,141
172082.7,1919
101344.2,380
140606.5,6753
