%pc_wealth_adj,factor
97231.48,39
101731.8,2537
183283.6,2038
245242.2,939
49036.27,4683
146765.2,4683
44264.48,1690
513287.1,358
236991.7,936
151152.6,264
29102.92,141
226926.3,1114
119569.4,4346
333547.5,203
90725.79,115
164459.5,372
171758.3,8942
114585.2,355
82523.07,6110
18336.35,310
82236.38,156
69474.4,1588
47728.05,3178
98810.84,171
31560.52,1494
62313.15,1473
40395.78,2422
87862.54,1474
89941.61,1281
82496.68,229
196806.5,483
133202.5,185
148352.1,1928
171318.2,2328
349676.2,4331
613322.5,3267
-9829.608,3163
46081.4,111
61520.24,1252
8575.303,490
20569.88,616
10719.13,1901
42328.51,140
569379.5,5039
287324.3,878
30338.75,2021
73464.22,37
502463.7,203
165007.5,1588
84160.08,295
120961.2,1652
162455.4,297
157982.8,337
62501.27,80
330590,1974
85621.88,431
104635.8,264
221917.3,904
27204.45,196
29834.92,313
70085.13,596
50146.42,220
61979.85,321
115335.3,146
66149.3,1059
12304.05,78
71288.16,741
-1698.996,364
242540.6,1846
207358,666
218820.5,838
178994.3,94
148468.3,264
86777.46,2484
174383.7,726
34448.05,1319
77442.42,1843
90705.59,2584
42438.11,633
83002.24,8042
293429.8,1549
86777.46,5610
36251.87,300
70549.07,228
285937.3,1006
114249.1,1161
304541.8,872
50695.06,1000
46354.18,22
237845.1,365
52078.49,68
303321.7,4581
261767.2,5035
42318.07,56
319536.8,2498
18592.6,21
48552.13,260
158303.9,97
10248.32,247
507844.9,231
37395.31,878
163047.3,8942
124711.6,286
36639.93,1380
296009.7,2484
29306.28,900
112806.1,594
116402.6,143
271670.3,2581
166886.8,318
72576.74,171
692238.2,3892
209350.4,751
234436.2,1302
65641.98,2581
176203.8,645
93061.63,283
302338.8,2315
13350.74,179
194858.8,454
237690.9,4284
212057.7,711
218125.7,537
3220.828,1059
100386.7,8180
-3276.536,838
111785.3,3462
28319.93,107
85581.92,998
19189.85,141
356162.3,548
396907.6,1279
93779.2,2800
8911.877,3033
5272.412,490
87186.27,118
97161.4,89
152927.3,612
323658.2,1978
73459.9,253
59415.11,1114
41494.41,2484
240071.8,327
90078.44,2540
211195.3,378
226551.6,1477
37977.3,78
53422.94,22
40858.52,206
70204.34,1590
128096.3,130
1910.033,49
168024.4,13898
260965.7,132
327906.7,466
141803.2,203
46659.27,3267
-9829.608,460
27470.58,3178
64996.47,2540
43932.11,2608
165724.9,3851
85225.45,581
181746.5,871
75838.65,429
95175.85,1319
237355.5,3702
161646.4,479
104359.1,537
101217.9,22
13873.19,318
411317.7,1489
98102.09,8042
152739.8,480
205786.3,293
146056.7,869
60778.37,3033
335055.8,2038
38150.46,3193
15500.28,19
187765.5,22
74644.11,4740
33064.68,93
52261.52,1021
137709.4,173
87629.86,1051
76870.84,1421
81245.59,1159
85807.99,96
406321.7,1126
89282.9,666
3081.176,364
10785.22,1368
28366.08,586
527799.6,1976
87806.43,198
84048.68,293
9819.474,11
62729.61,2191
108759.3,115
8281.102,5368
247490,108
133615.8,2996
109817,166
107934.4,1289
13321.99,1794
67246.88,2210
1685.721,310
90720.93,1623
32298.02,1299
289043,37
111119.9,232
189067.4,369
26743.28,665
43490.83,2040
112289.4,3243
74599.47,107
209576.9,246
216566.2,2216
74195.06,1226
9385.229,27
42823.93,3610
165217.9,1051
17609.65,3178
255463,2937
419047.4,1253
112968.6,4302
15465.07,1923
243121.7,916
63968.18,5469
316458.4,1126
120027.7,1021
60480.62,108
17361.86,204
148062.6,166
143259.9,1126
160094.5,754
6609.38,90
153070.5,215
76970.48,107
133228.3,1576
49653.27,173
17854.02,220
72735.05,2531
35188.38,666
138377.1,6110
27292.84,311
46014.34,557
36305.16,1226
214989.7,1945
